OpenAlex;Uniforme
AIP Publishing;AIP Publishing
American Institute of Physics;AIP Publishing
BMJ;BMJ
British Medical Journal;BMJ
De Gruyter;De Gruyter
De Gruyter Mouton;De Gruyter
De Gruyter Open;De Gruyter
EDP Open;EDP Sciences
EDP Sciences;EDP Sciences
Cell Press;Elsevier BV
Elsevier BV;Elsevier BV
IEEE Computer Society;IEEE
IEEE Magnetics Society;IEEE
IEEE Microwave Theory and Techniques Society;IEEE
IEEE Photonics Society;IEEE
IEEE Sensors Council;IEEE
Institute of Electrical and Electronics Engineers;IEEE
Institute of Physics;IOP Publishing
IOP Publishing;IOP Publishing
Oxford University Press;Oxford University Press
University of Oxford;Oxford University Press
BioMed Central;BioMed Central
Nature Portfolio;Nature Portfolio
Springer International Publishing;Springer Nature
Springer Nature;Springer Nature
Springer Nature (Netherlands);Springer Nature
Springer Science+Business Media;Springer Nature
Springer Vienna;Springer Nature
Springer VS;Springer Nature
Adis, Springer Healthcare;Springer Nature
Landes Bioscience;Taylor & Francis
Routledge;Taylor & Francis
Informa;Taylor & Francis
Taylor & Francis;Taylor & Francis
Georg Thieme Verlag;Thieme Medical Publishers (Germany)
Thieme Medical Publishers (Germany);Thieme Medical Publishers (Germany)
Wiley;Wiley
WileyOpen;Wiley
American Geophysical Union;Wiley
Institution of Engineering and Technology;Wiley
Multidisciplinary Digital Publishing Institute;MDPI
